P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
8.2,25.94193548,14.32903226,5.17,26.28612903,12.71225806,7.7,26.22258065,14.40322581
33.4,27.90322581,14.61290323,27.67,28.87516129,12.9983871,24.9,28.1516129,14.51612903
5.6,30.10666667,14.23333333,4.01,31.668,13.33633333,7.4,30.31333333,14.34333333
179.8,28.93870968,17.12580645,178,30.48548387,16.91774194,191,29.17741935,17.18387097
114.6,29.05,16.35,118.53,30.85566667,16.061,137.8,29.26,16.54666667
178.6,30.47741935,18.26129032,150.13,32.24677419,17.9883871,181.6,30.69354839,18.46129032
236.4,28.39354839,18.21612903,248.35,28.88064516,18.22483871,274.3,28.61935484,18.41935484
72.2,31.66551724,19.91724138,80.96,31.25655172,19.94827586,116.1,31.88275862,20.02758621
142.8,30.4,18.54516129,19.61,31.92354839,18.89032258,84.5,30.65806452,18.68064516
163.2,28.42,17.99,87.54,30.076,18.166,144,28.68666667,17.91666667
79.2,24.63225806,14.53870968,56.16,24.99516129,14.36064516,78,24.87096774,14.67419355
195.6,23.32666667,14.83666667,143.98,24.31733333,13.814,213.3,23.56333333,14.78
10.6,24.94516129,13.19032258,12.45,25.24806452,11.51548387,9.8,25.20967742,13.2
0,27.74666667,14.56666667,0.37,28.95333333,12.992,0,27.97,14.65
85.2,29.91333333,16.41333333,83.09,31.806,15.09733333,105.6,30.1,16.2
41.8,32.07096774,18.75483871,56.63,34.18258065,18.77903226,63.7,32.25483871,18.85806452
129.6,30.28666667,18.18,116.58,32.09,17.95866667,98.2,30.49333333,18.33666667
114.8,32.09032258,20.62580645,202.6,31.90193548,21.17677419,117.1,32.30967742,20.77096774
252.8,29.09354839,19.0483871,280.19,29.50903226,18.95741935,249.9,29.31290323,19.15483871
149.8,30.05714286,19.48928571,192.85,29.80107143,19.73,168.3,30.33214286,19.75
193.4,28.70333333,19.08333333,150.61,28.85133333,19.20233333,206.4,28.92666667,19.19
98,26.99333333,16.83,94.57,26.67466667,16.255,88,27.23333333,16.92
145.8,25.47419355,15.33870968,127.34,25.50225806,14.47741935,154.5,25.76129032,15.40967742
70.2,24.10666667,15.04333333,79.01,24.48766667,14.42533333,79.2,24.36333333,15.17
17.8,22.96,14.08,9.42,24.588,13.32,17.5,23.28,14.2
33.4,26.79230769,14.45384615,29.58,29.16461538,14.13615385,50,27.03076923,14.53846154
139.4,28.55806452,16.9516129,120.19,29.57677419,16.15516129,155.6,28.80967742,17.06451613
168.8,29.68666667,18.17666667,89.92,31.22633333,17.67466667,114.6,29.93666667,18.30333333
49.2,31.52258065,19.60645161,82.21,32.70451613,19.43548387,90.3,31.76451613,19.73870968
95,32.60322581,20.05483871,130.38,32.93354839,20.42419355,117.2,32.83225806,20.18064516
125.2,31.83571429,20.36071429,69.78,33.66428571,20.25428571,92.9,32.10357143,20.525
123.8,29.98709677,19.42258065,106.79,30.91741935,19.61903226,145.7,30.2483871,19.55806452
72.4,28.44666667,17.66,72.5,29.574,17.86933333,75.1,28.69333333,17.81
59.4,25.7,15.06129032,46.73,27.14709677,14.12354839,60,25.98709677,15.09032258
2.8,25.76,14.61,4.36,26.85233333,13.136,0.6,26.04333333,14.71
24.8,24.60645161,13.31935484,23.49,26.42032258,12.38032258,29.7,24.86129032,13.41612903
18.4,28.9,14.59032258,16.62,29.93129032,12.81129032,11,29.09677419,14.45806452
109.4,29.83333333,16.68666667,97.47,32.17833333,16.26666667,118,30.02,16.84666667
1.2,32.81,17.62,3.38,34.842,16.8005,1.5,32.995,17.73
194.8,30.5,19.43793103,205.01,30.48896552,19.54103448,236.6,30.72758621,19.43448276
142,33.12258065,20.58387097,165.11,32.41258065,20.95,124.2,33.33870968,20.76451613
109,30.44285714,19.75714286,130.03,30.38142857,20.05321429,127.4,30.61428571,19.925
203.2,28.77419355,19.11935484,121.92,28.91516129,18.98032258,204,29,19.30322581
37.8,28.55333333,17.69,47.18,29.087,17.382,34.4,28.78,17.84
98.8,24.7516129,15.41935484,92.93,25.64741935,15.08354839,102.9,25,15.55483871
9.2,24.97,14.81666667,2.98,25.358,13.16366667,14.5,25.24,14.74333333
73.2,24.32903226,14.78387097,56.58,25.66806452,13.4383871,75.8,24.57096774,14.90967742
17.6,28.55806452,15.31935484,20.79,30.04548387,13.40548387,20.5,28.79032258,15.24516129
182,30.06666667,17.53,157.8,31.78466667,16.64466667,172.3,30.28333333,17.69
89.2,31.42258065,18.71935484,93.65,33.70612903,18.51290323,84.6,31.60967742,18.76774194
224.2,29.44333333,19.46333333,252.72,30.37133333,19.84233333,279.8,29.65333333,19.58666667
205.8,30.00645161,20.19677419,183.05,29.98193548,20.69064516,239.6,30.28709677,20.31935484
250.6,30.06774194,20.12580645,314.32,29.85645161,19.8416129,431,30.27096774,20.32258065
217.4,30.84827586,20.43103448,187.64,30.42724138,20.51413793,269.2,31.12413793,20.59310345
33.4,31.22413793,19.00689655,26.33,30.1137931,17.84965517,36.4,31.43448276,19.08275862
87.4,24.70322581,14.65806452,120.81,24.79032258,14.32580645,129.4,24.93225806,14.79032258
91.4,23.15,12.33333333,89.54,22.774,10.96533333,118.5,23.37333333,12.47333333
7.2,26.02903226,12.91612903,7.4,24.78451613,10.89903226,7.3,26.27096774,12.96451613
53.6,27.64516129,14.21612903,63.36,27.32290323,12.76806452,52.8,27.86774194,14.13870968
22.2,28.48333333,14.24666667,11.14,29.27933333,13.35633333,27.3,28.68333333,14.38
91.4,30.10645161,17.08064516,101.52,30.87322581,16.83548387,123.5,30.31290323,17.15483871
78,30.24333333,17.89666667,66.52,31.092,17.61666667,75.2,30.46666667,18.03666667
125.4,30.8,19.33548387,119.25,31.33,19.55,139.4,31.01612903,19.55483871
394.4,30.07096774,19.89677419,323.99,29.20258065,20.2883871,379.2,30.28387097,20.06451613
114.8,31.91785714,20.26071429,68.18,30.95107143,20.40071429,121.1,32.175,20.47142857
102,30.37096774,19.28387097,98.27,29.4516129,19.38193548,125.5,30.60645161,19.39032258
